epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,270.758,1.0179,0.41717,1.03937,0.9797,0.97185,0.99294,0.70547,1.16283,0.4447,1.20874,0.0004556,0.0004556,0.0004556
80,274.684,1.02291,0.42344,1.04676,0.98819,0.96779,0.99254,0.71415,1.15375,0.44057,1.19934,0.0004358,0.0004358,0.0004358
81,278.555,1.02094,0.41554,1.05378,0.98238,0.97291,0.99146,0.71459,1.15034,0.43958,1.19785,0.000416,0.000416,0.000416
82,282.303,1.01848,0.41391,1.06713,0.97845,0.97502,0.99081,0.7115,1.1454,0.44531,1.20414,0.0003962,0.0003962,0.0003962
83,285.91,1.03238,0.41552,1.05124,0.9842,0.97047,0.99049,0.7152,1.14712,0.43998,1.20513,0.0003764,0.0003764,0.0003764
84,289.606,1.01476,0.40846,1.05326,0.9869,0.97047,0.98956,0.71362,1.14526,0.43386,1.21542,0.0003566,0.0003566,0.0003566
85,293.109,1.00512,0.41363,1.06144,0.98718,0.97047,0.99107,0.71984,1.13974,0.43264,1.20689,0.0003368,0.0003368,0.0003368
86,296.667,1.00537,0.40265,1.04283,0.98373,0.97377,0.9908,0.71588,1.1418,0.43085,1.19997,0.000317,0.000317,0.000317
87,300.11,1.01217,0.41255,1.05709,0.98501,0.97031,0.99006,0.7172,1.14352,0.42568,1.19976,0.0002972,0.0002972,0.0002972
88,303.681,0.99953,0.40396,1.03755,0.98479,0.97047,0.99036,0.7199,1.14014,0.42498,1.19891,0.0002774,0.0002774,0.0002774
89,307.143,1.01171,0.41146,1.04919,0.98726,0.97047,0.9911,0.71865,1.14531,0.42151,1.20275,0.0002576,0.0002576,0.0002576
90,310.568,1.00059,0.40087,1.04303,0.98951,0.96779,0.99126,0.71881,1.1381,0.4161,1.19701,0.0002378,0.0002378,0.0002378
91,331.759,0.98679,0.39842,1.05792,0.98959,0.96913,0.99199,0.71992,1.13743,0.41726,1.19841,0.000218,0.000218,0.000218
92,335.12,0.97008,0.3862,1.0561,0.98768,0.96818,0.99279,0.72056,1.13974,0.41728,1.20027,0.0001982,0.0001982,0.0001982
93,338.318,0.9711,0.37822,1.04987,0.98773,0.9723,0.99275,0.71848,1.1444,0.41793,1.20098,0.0001784,0.0001784,0.0001784
94,341.556,0.95204,0.37395,1.05087,0.98721,0.97181,0.99138,0.72007,1.13792,0.41627,1.19565,0.0001586,0.0001586,0.0001586
95,344.684,0.94801,0.36797,1.04311,0.98369,0.9712,0.99083,0.7186,1.13289,0.42007,1.19562,0.0001388,0.0001388,0.0001388
96,347.911,0.95454,0.37059,1.03858,0.97716,0.97628,0.9892,0.71046,1.13575,0.42177,1.19937,0.000119,0.000119,0.000119
97,351.015,0.95157,0.36489,1.03653,0.98375,0.97529,0.98927,0.71208,1.13311,0.41934,1.19861,9.92e-05,9.92e-05,9.92e-05
98,354.464,0.94749,0.36845,1.02724,0.98185,0.97315,0.98925,0.71596,1.13063,0.41582,1.19856,7.94e-05,7.94e-05,7.94e-05
99,357.913,0.9412,0.36644,1.03342,0.98188,0.97181,0.98948,0.71638,1.13026,0.41496,1.20053,5.96e-05,5.96e-05,5.96e-05
100,361.516,0.94848,0.36753,1.03887,0.98622,0.97181,0.98959,0.71548,1.1314,0.41215,1.20186,3.98e-05,3.98e-05,3.98e-05
